object,field,label,type,referenceTo,nullable,formula,origin
copado__Result__c,copado__ApexCallback__c,Apex Callback,string,,True,False,Socle Copado
copado__Result__c,copado__Custom_Function_Used_Credits__c,Copado Credits Used,double,,True,False,Socle Copado
copado__Result__c,copado__Custom_Function_Used_Minutes__c,Function Used Minutes,double,,True,False,Socle Copado
copado__Result__c,copado__Deployment__c,Deployment,Lookup,copado__Deployment__c,True,False,Socle Copado
copado__Result__c,copado__Description__c,Description,textarea,,True,False,Socle Copado
copado__Result__c,copado__Duration__c,Duration (in seconds),double,,True,True,Socle Copado
copado__Result__c,copado__End_Time__c,End Time,datetime,,True,False,Socle Copado
copado__Result__c,copado__Error_Code__c,Error Code,string,,True,False,Socle Copado
copado__Result__c,copado__Error_Message__c,Error Message,textarea,,True,False,Socle Copado
copado__Result__c,copado__Function_Worker_Size__c,Function Worker Size,picklist,,True,False,Socle Copado
copado__Result__c,copado__Function__c,Function,Lookup,copado__Function__c,True,False,Socle Copado
copado__Result__c,copado__JobStep__c,Job Step,Lookup,copado__JobStep__c,True,False,Socle Copado
copado__Result__c,copado__Job_Id__c,External Job ID,string,,True,False,Socle Copado
copado__Result__c,copado__Job_Type__c,Job API Name,picklist,,False,False,Socle Copado
copado__Result__c,copado__Link__c,External Result Link,url,,True,False,Socle Copado
copado__Result__c,copado__ParentId__c,Context ID,string,,True,False,Socle Copado
copado__Result__c,copado__Progress_Status__c,Progress Status,string,,True,False,Socle Copado
copado__Result__c,copado__Promotion__c,Promotion,Lookup,copado__Promotion__c,True,False,Socle Copado
copado__Result__c,copado__Result_Data__c,Result Data,textarea,,True,False,Socle Copado
copado__Result__c,copado__Start_Time__c,Start Time,datetime,,True,False,Socle Copado
copado__Result__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Result__c,copado__Test__c,Test,Lookup,copado__Test__c,True,False,Socle Copado
copado__Result__c,copado__Timeout__c,Timeout (minutes),double,,True,False,Socle Copado
copado__Result__c,copado__User_Story__c,User Story,Lookup,copado__User_Story__c,True,False,Socle Copado
copado__Result__c,copado__Parent__c,Parent,string,,True,True,Socle Copado
copado__Result__c,copado__CreditSyncStatus__c,Credit Sync Status,string,,True,False,Socle Copado
copado__Result__c,copado__Job_Execution__c,Job Execution,string,,True,True,Socle Copado
copado__Function__c,Id,Record ID,id,,False,False,Salesforce
copado__Function__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Function__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Function__c,Name,Function Name,string,,True,False,Salesforce
copado__Function__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Function__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Function__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Function__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Function__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Function__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Function__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Function__c,copado__API_Name__c,API Name,string,,False,False,Socle Copado
copado__Function__c,copado__ApexClass__c,ApexClass,string,,True,False,Socle Copado
copado__Function__c,copado__Callback_Type__c,Callback Type,picklist,,True,False,Socle Copado
copado__Function__c,copado__Description__c,Description,textarea,,True,False,Socle Copado
copado__Function__c,copado__FlowHandler__c,FlowHandler,string,,True,False,Socle Copado
copado__Function__c,copado__Image_Name__c,Image Name,string,,True,False,Socle Copado
copado__Function__c,copado__Options__c,Options,textarea,,True,False,Socle Copado
copado__Function__c,copado__Parameters__c,Parameters,textarea,,True,False,Socle Copado
copado__Function__c,copado__Script__c,Script,textarea,,True,False,Socle Copado
copado__Function__c,copado__Timeout__c,Timeout,double,,True,False,Socle Copado
copado__Function__c,copado__Type__c,Type,picklist,,False,False,Socle Copado
copado__Function__c,copado__Version__c,Version,string,,True,False,Socle Copado
copado__Function__c,copado__Worker_Size__c,Worker Size,picklist,,False,False,Socle Copado
copado__Function__c,copado__Result_Viewer_Component__c,Result Viewer Component,string,,True,False,Socle Copado
copado__Function__c,copado__Backend_Bypass__c,Backend Bypass,boolean,,False,False,Socle Copado
copado__Quality_Gate_Rule__c,Id,Record ID,id,,False,False,Salesforce
copado__Quality_Gate_Rule__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Quality_Gate_Rule__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Quality_Gate_Rule__c,Name,Quality Gate Rule Name,string,,True,False,Salesforce
copado__Quality_Gate_Rule__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Quality_Gate_Rule__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Quality_Gate_Rule__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Quality_Gate_Rule__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Quality_Gate_Rule__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Quality_Gate_Rule__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Quality_Gate_Rule__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Quality_Gate_Rule__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Quality_Gate_Rule__c,copado__ActionsList__c,Copado Actions,string,,True,True,Socle Copado
copado__Quality_Gate_Rule__c,copado__Actions__c,Copado Actions,multipicklist,,False,False,Socle Copado
copado__Quality_Gate_Rule__c,copado__Execution_sequence__c,Execution Sequence,picklist,,False,False,Socle Copado
copado__Quality_Gate_Rule__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Quality_Gate_Rule__c,copado__Tool__c,Tool,picklist,,False,False,Socle Copado
copado__Quality_Gate_Rule__c,copado__Type__c,Type,string,,True,False,Socle Copado
copado__Quality_Gate_Rule__c,copado__dataJson__c,dataJson,textarea,,True,False,Socle Copado
copado__Quality_Gate_Rule__c,copado__Is_Updated_Data_Model__c,Is Updated Data Model,boolean,,False,False,Socle Copado
copado__Quality_Gate_Rule_Condition__c,Id,Record ID,id,,False,False,Salesforce
copado__Quality_Gate_Rule_Condition__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Quality_Gate_Rule_Condition__c,Name,Quality Gate Rule Condition Name,string,,False,False,Salesforce
copado__Quality_Gate_Rule_Condition__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Quality_Gate_Rule_Condition__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Quality_Gate_Rule_Condition__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Quality_Gate_Rule_Condition__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Quality_Gate_Rule_Condition__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Quality_Gate_Rule_Condition__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Quality_Gate_Rule_Condition__c,copado__Quality_Gate_Rule__c,Quality Gate Rule,Master-Detail,copado__Quality_Gate_Rule__c,False,False,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__AcceptanceCriteria__c,Acceptance Criteria,textarea,,True,False,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__Actions__c,Copado Actions,string,,True,True,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__Environment__c,Environment,Lookup,copado__Environment__c,True,False,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__ExecutionSequence__c,Execution Sequence,string,,True,True,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__Pipeline__c,Pipeline,Lookup,copado__Deployment_Flow__c,True,False,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__Platform__c,Platform,picklist,,False,False,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__Status__c,Status,string,,True,True,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__Tool__c,Tool,string,,True,True,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__Filter_Criteria__c,Filter Criteria,textarea,,True,False,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__Extension_Configuration__c,Extension Configuration,Lookup,copado__ExtensionConfiguration__c,False,False,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__Stage__c,Stage,Lookup,copado__Stage__c,True,False,Socle Copado
copado__Quality_Gate_Rule_Condition__c,copado__Tests_From__c,Tests From,picklist,,False,False,Socle Copado
copado__Test__c,Id,Record ID,id,,False,False,Salesforce
copado__Test__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Test__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Test__c,Name,Name,string,,True,False,Salesforce
copado__Test__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Test__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Test__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Test__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Test__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Test__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Test__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Test__c,copado__Application__c,Application,Lookup,copado__Application__c,True,False,Socle Copado
copado__Test__c,copado__Category__c,Category - Deprecated,string,,True,False,Socle Copado
copado__Test__c,copado__Configuration__c,Configuration,textarea,,True,False,Socle Copado
copado__Test__c,copado__Feature__c,Feature,Lookup,copado__Application_Feature__c,True,False,Socle Copado
copado__Test__c,copado__Priority__c,Priority,picklist,,True,False,Socle Copado
copado__Test__c,copado__Reference__c,Reference,string,,False,False,Socle Copado
copado__Test__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Test__c,copado__Tool__c,Tool - Deprecated,string,,True,False,Socle Copado
copado__Test__c,copado__User_Story__c,User Story,Lookup,copado__User_Story__c,True,False,Socle Copado
copado__Test__c,copado__Integration__c,Tool - Deprecated,Lookup,copado__ExtensionConfiguration__c,True,False,Socle Copado
copado__Test__c,copado__ExtensionConfiguration__c,Tool Configuration,Lookup,copado__ExtensionConfiguration__c,True,False,Socle Copado
copado__Test__c,copado__HasExtraConfiguration__c,Has Extra Configuration,boolean,,False,False,Socle Copado
copado__Test__c,copado__LatestJobExecution__c,Latest Job Execution,Lookup,copado__JobExecution__c,True,False,Socle Copado
copado__Test__c,copado__Type__c,Type,string,,True,True,Socle Copado
copado__Test__c,copado__AcceptanceCriteria__c,Acceptance Criteria,textarea,,True,False,Socle Copado
copado__Test__c,copado__ReadyToRun__c,Ready to Run,boolean,,False,False,Socle Copado
copado__Test__c,copado__Parent_Id__c,Parent Id,string,,True,False,Socle Copado
copado__Test__c,copado__Promotion__c,Promotion,Lookup,copado__Promotion__c,True,False,Socle Copado
copado__Test__c,copado__Test_Tool__c,Test Tool,string,,True,True,Socle Copado
copado__Test__c,copado__Parent__c,Parent,string,,True,True,Socle Copado
copado__Test__c,copado__Latest_Result_Status__c,Latest Result Status,string,,True,True,Socle Copado
copado__ExtensionConfiguration__c,Id,Record ID,id,,False,False,Salesforce
copado__ExtensionConfiguration__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__ExtensionConfiguration__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__ExtensionConfiguration__c,Name,Name,string,,True,False,Salesforce
copado__ExtensionConfiguration__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__ExtensionConfiguration__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__ExtensionConfiguration__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__ExtensionConfiguration__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__ExtensionConfiguration__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__ExtensionConfiguration__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__ExtensionConfiguration__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__ExtensionConfiguration__c,copado__Details__c,Details,textarea,,True,False,Socle Copado
copado__ExtensionConfiguration__c,copado__ExtensionApplication__c,Copado Phase,picklist,,False,False,Socle Copado
copado__ExtensionConfiguration__c,copado__Extension_Name__c,Extension Name - Deprecated,picklist,,True,False,Socle Copado
copado__ExtensionConfiguration__c,copado__Status__c,Status - Deprecated,picklist,,True,False,Socle Copado
copado__ExtensionConfiguration__c,copado__Type__c,Type - deprecated,picklist,,True,False,Socle Copado
copado__ExtensionConfiguration__c,copado__Active__c,Active,boolean,,False,False,Socle Copado
copado__ExtensionConfiguration__c,copado__ExtensionTool__c,Extension Tool,picklist,,False,False,Socle Copado
copado__ExtensionConfiguration__c,copado__TestType__c,Test Type,string,,True,False,Socle Copado
copado__ExtensionConfiguration__c,copado__AcceptanceCriteria__c,Acceptance Criteria,textarea,,True,False,Socle Copado
copado__ExtensionConfiguration__c,copado__Backend_Bypass__c,Backend Bypass,boolean,,False,False,Socle Copado
copado__ExtensionConfiguration__c,copadoQuality__Latest_Job_Execution__c,Latest Job Execution,Lookup,copado__JobExecution__c,True,False,Copado Quality
copado__ExtensionConfiguration__c,copadoQuality__Requires_Sync__c,Requires Sync?,boolean,,False,False,Copado Quality
copado__Automation_Rule__c,Id,Record ID,id,,False,False,Salesforce
copado__Automation_Rule__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Automation_Rule__c,Name,Automation Rule Name,string,,True,False,Salesforce
copado__Automation_Rule__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Automation_Rule__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Automation_Rule__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Automation_Rule__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Automation_Rule__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Automation_Rule__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Automation_Rule__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Automation_Rule__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Automation_Rule__c,copado__Pipeline__c,Pipeline,Master-Detail,copado__Deployment_Flow__c,False,False,Socle Copado
copado__Automation_Rule__c,copado__Active__c,Is Active,boolean,,False,False,Socle Copado
copado__Automation_Rule__c,copado__Automated_Action_Callback__c,Flow or Class API Name,string,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Automated_Action__c,Automated Action,string,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Automation_Connector__c,Automation Type,string,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Cron_Expression__c,Cron Expression,string,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Custom_Automation_Connector__c,Custom Automation Type (API Name),string,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Description__c,Description,textarea,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Environment__c,Selected Environments,string,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Excluded_Environments__c,Excluded Environments,string,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Execution__c,Execution Time,picklist,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Last_Execution_Date_Time__c,Last Execution Date Time,datetime,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Scheduled_Job_Id__c,Scheduled Job Id,string,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Source_Action_Status__c,Trigger Action Status,picklist,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Source_Action__c,Trigger Action,picklist,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Stage__c,Selected Stages,string,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Filter_Criteria__c,Filter Criteria,textarea,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Config_Json__c,Config Json,textarea,,True,False,Socle Copado
copado__Automation_Rule__c,copado__Quality_Gate_Rule_Condition__c,Quality Gate Rule Condition,Lookup,copado__Quality_Gate_Rule_Condition__c,True,False,Socle Copado
copado__Artifact__c,Id,Record ID,id,,False,False,Salesforce
copado__Artifact__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Artifact__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Artifact__c,Name,Package Name,string,,True,False,Salesforce
copado__Artifact__c,RecordTypeId,Record Type ID,Lookup,RecordType,True,False,Salesforce
copado__Artifact__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Artifact__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Artifact__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Artifact__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Artifact__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Artifact__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Artifact__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Artifact__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Artifact__c,copado__Artifact_Repository__c,Package Repository,Lookup,copado__Git_Repository__c,True,False,Socle Copado
copado__Artifact__c,copado__Artifact_Version__c,Latest Package Version,Lookup,copado__Artifact_Version__c,True,False,Socle Copado
copado__Artifact__c,copado__Description__c,Description,textarea,,True,False,Socle Copado
copado__Artifact__c,copado__No_Namespace__c,No Namespace,boolean,,False,False,Socle Copado
copado__Artifact__c,copado__Org_Credential__c,Source Credential,Lookup,copado__Org__c,True,False,Socle Copado
copado__Artifact__c,copado__Package_Id__c,Package Id,string,,True,False,Socle Copado
copado__Artifact__c,copado__Package_Namespace__c,Package Namespace,string,,True,False,Socle Copado
copado__Artifact__c,copado__Package_Type__c,Package Type,picklist,,True,False,Socle Copado
copado__Artifact__c,copado__Pipeline__c,Pipeline,Lookup,copado__Deployment_Flow__c,True,False,Socle Copado
copado__Artifact__c,copado__Sfdc_Login_Url__c,Sfdc Login Url,string,,True,False,Socle Copado
copado__Artifact__c,copado__Source_Api_Version__c,Source Api Version,picklist,,True,False,Socle Copado
copado__Artifact__c,copado__Target_Dev_Hub_Org__c,Target Dev Hub Org,Lookup,copado__Org__c,True,False,Socle Copado
copado__Artifact__c,copado__LastJobExecutionId__c,Last Job Execution Id,string,,True,False,Socle Copado
copado__Artifact__c,copado__DataJSON__c,Data JSON,textarea,,True,False,Socle Copado
copado__Artifact__c,copado__DefaultBranch__c,Default Branch,string,,True,False,Socle Copado
copado__Artifact__c,copado__DefaultPath__c,Default Path,string,,True,False,Socle Copado
copado__Artifact__c,cmcSf__Api_Version__c,Api Version,string,,True,False,Extension Source Format
copado__Artifact__c,cmcSf__IsOrgDependent__c,Is Org Dependent,boolean,,False,False,Extension Source Format
copado__Artifact__c,cmcSf__PackagePath__c,Package Path,string,,True,False,Extension Source Format
copado__Artifact_Version__c,Id,Record ID,id,,False,False,Salesforce
copado__Artifact_Version__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Artifact_Version__c,Name,Artifact Versions Name,string,,True,False,Salesforce
copado__Artifact_Version__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Artifact_Version__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Artifact_Version__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Artifact_Version__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Artifact_Version__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Artifact_Version__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Artifact_Version__c,copado__Artifact__c,Package,Master-Detail,copado__Artifact__c,False,False,Socle Copado
copado__Artifact_Version__c,copado__Branch__c,Branch,string,,True,False,Socle Copado
copado__Artifact_Version__c,copado__Is_released__c,Is released,boolean,,False,False,Socle Copado
copado__Artifact_Version__c,copado__Package_Version_Id__c,Package Version Id,string,,True,False,Socle Copado
copado__Artifact_Version__c,copado__Production_Installation_URL__c,Production Installation URL,string,,True,True,Socle Copado
copado__Artifact_Version__c,copado__Release_Status__c,Release Status,string,,True,True,Socle Copado
copado__Artifact_Version__c,copado__Release__c,Release,Lookup,copado__Release__c,True,False,Socle Copado
copado__Artifact_Version__c,copado__Sandbox_Installation_URL__c,Sandbox Installation URL,string,,True,True,Socle Copado
copado__Artifact_Version__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Artifact_Version__c,copado__Subscriber_Version_Id__c,Subscriber Version Id,string,,True,False,Socle Copado
copado__Artifact_Version__c,copado__Tag__c,Tag,string,,True,False,Socle Copado
copado__Artifact_Version__c,copado__User_Story__c,Bundle User Story,Lookup,copado__User_Story__c,True,False,Socle Copado
copado__Artifact_Version__c,copado__Version_Description__c,Version Description,string,,True,False,Socle Copado
copado__Artifact_Version__c,copado__Version_Name__c,Version Name,string,,True,False,Socle Copado
copado__Artifact_Version__c,copado__Version__c,Version,string,,True,True,Socle Copado
copado__Artifact_Version__c,copado__Version_number__c,Version number,string,,True,False,Socle Copado
copado__Artifact_Version__c,copado__View_In_Git__c,View In Git,string,,True,True,Socle Copado
copado__Artifact_Version__c,copado__Data_JSON__c,Data JSON,textarea,,True,False,Socle Copado
copado__Artifact_Version__c,copado__LastJobExecutionId__c,Last Job Execution Id,string,,True,False,Socle Copado
copado__Artifact_Version__c,copado__DefinitionFile__c,Definition File,string,,True,False,Socle Copado
copado__Artifact_Version__c,cmcSf__Ancestor_Id__c,Ancestor Id,string,,True,False,Extension Source Format
copado__Artifact_Version__c,cmcSf__Ancestor_Version__c,Ancestor Version,string,,True,False,Extension Source Format
copado__Artifact_Version__c,cmcSf__Api_Version__c,Api Version,string,,True,False,Extension Source Format
copado__Artifact_Version__c,cmcSf__Code_Coverage__c,Code Coverage,boolean,,False,False,Extension Source Format
copado__Artifact_Version__c,cmcSf__Has_Installation_Key__c,Has Installation Key,boolean,,False,False,Extension Source Format
copado__Artifact_Version__c,cmcSf__Post_Install_Script__c,Post Install Script,string,,True,False,Extension Source Format
copado__Artifact_Version__c,cmcSf__Post_Install_URL__c,Post Install URL,string,,True,False,Extension Source Format
copado__Artifact_Version__c,cmcSf__Release_Notes_URL__c,Release Notes URL,string,,True,False,Extension Source Format
copado__Artifact_Version__c,cmcSf__Skip_Validation__c,Skip Validation,boolean,,False,False,Extension Source Format
copado__Artifact_Version__c,cmcSf__Uninstall_Script__c,Uninstall Script,string,,True,False,Extension Source Format
copado__Artifact_Dependency__c,Id,Record ID,id,,False,False,Salesforce
copado__Artifact_Dependency__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Artifact_Dependency__c,Name,Artifact Dependencies Name,string,,False,False,Salesforce
copado__Artifact_Dependency__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Artifact_Dependency__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Artifact_Dependency__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Artifact_Dependency__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Artifact_Dependency__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Artifact_Dependency__c,copado__Dependent_Artifact__c,Dependent Package,Master-Detail,copado__Artifact__c,False,False,Socle Copado
copado__Artifact_Dependency__c,copado__Depending_Artifact_Version__c,Depending Package Version,Lookup,copado__Artifact_Version__c,True,False,Socle Copado
copado__Artifact_Dependency__c,copado__Depending_Artifact__c,Depending Package,Lookup,copado__Artifact__c,True,False,Socle Copado
copado__Artifact_Dependency__c,copado__Depends_on_the_latest_version__c,Depends on the latest version,boolean,,False,False,Socle Copado
copado__Installed_Artifact_Version__c,Id,Record ID,id,,False,False,Salesforce
copado__Installed_Artifact_Version__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Installed_Artifact_Version__c,Name,Name,string,,False,False,Salesforce
copado__Installed_Artifact_Version__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Installed_Artifact_Version__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Installed_Artifact_Version__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Installed_Artifact_Version__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Installed_Artifact_Version__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Installed_Artifact_Version__c,copado__Package_Version__c,Package Version,Master-Detail,copado__Artifact_Version__c,False,False,Socle Copado
copado__Installed_Artifact_Version__c,copado__Environment__c,Environment,Master-Detail,copado__Environment__c,False,False,Socle Copado
copado__Installed_Artifact_Version__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Bundled_Story__c,Id,Record ID,id,,False,False,Salesforce
copado__Bundled_Story__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Bundled_Story__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Bundled_Story__c,Name,Bundled Story Name,string,,False,False,Salesforce
copado__Bundled_Story__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Bundled_Story__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Bundled_Story__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Bundled_Story__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Bundled_Story__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Bundled_Story__c,copado__Package_Version__c,Package Version,Lookup,copado__Artifact_Version__c,True,False,Socle Copado
copado__Bundled_Story__c,copado__User_Story__c,User Story,Lookup,copado__User_Story__c,True,False,Socle Copado
