child,field,parent,type,nullable,parentCardinality,childCardinality,relationshipName,childRelationshipName,cascadeDelete,restrictedDelete
copado__Deployment_Flow__c,copado__Deployment_Job_Template__c,copado__JobTemplate__c,Lookup,True,0..1,0..N,copado__Deployment_Job_Template__r,copado__Pipelines1__r,False,False
copado__Deployment_Flow__c,copado__Git_Repository__c,copado__Git_Repository__c,Lookup,True,0..1,0..N,copado__Git_Repository__r,copado__Deployment_Flows__r,False,False
copado__Deployment_Flow__c,copado__Promotion_Job_Template__c,copado__JobTemplate__c,Lookup,True,0..1,0..N,copado__Promotion_Job_Template__r,copado__Pipelines__r,False,False
copado__Deployment_Flow_Step__c,copado__Deployment_Flow__c,copado__Deployment_Flow__c,Master-Detail,False,1,0..N,copado__Deployment_Flow__r,copado__Deployment_Flow_Steps__r,True,False
copado__Deployment_Flow_Step__c,copado__Destination_Environment__c,copado__Environment__c,Lookup,True,0..1,0..N,copado__Destination_Environment__r,copado__Deployment_Flow_Steps1__r,False,False
copado__Deployment_Flow_Step__c,copado__Source_Environment__c,copado__Environment__c,Lookup,True,0..1,0..N,copado__Source_Environment__r,copado__Deployment_Flow_Steps__r,False,True
copado__Deployment_Flow_Step__c,copado__Stage_Connection__c,copado__Stage_Connection__c,Lookup,True,0..1,0..N,copado__Stage_Connection__r,copado__Stage_Connections__r,False,False
copado__Environment__c,copado__CommitJobTemplateOverride__c,copado__JobTemplate__c,Lookup,True,0..1,0..N,copado__CommitJobTemplateOverride__r,copado__Environments2__r,False,False
copado__Environment__c,copado__Deployment_Job_Template_Override__c,copado__JobTemplate__c,Lookup,True,0..1,0..N,copado__Deployment_Job_Template_Override__r,copado__Environments1__r,False,False
copado__Environment__c,copado__Latest_Deployment__c,copado__Deployment__c,Lookup,True,0..1,0..N,copado__Latest_Deployment__r,copado__Environments__r,False,False
copado__Environment__c,copado__Promotion_Job_Template_Override__c,copado__JobTemplate__c,Lookup,True,0..1,0..N,copado__Promotion_Job_Template_Override__r,copado__Environments__r,False,False
copado__Org__c,copado__Developer_Hub_Org__c,copado__Org__c,Lookup,True,0..1,0..N,copado__Developer_Hub_Org__r,copado__Org_Credentials__r,False,False
copado__Org__c,copado__Environment__c,copado__Environment__c,Lookup,True,0..1,0..N,copado__Environment__r,copado__Org_Credentials__r,False,False
copado__Stage_Connection__c,copado__Pipeline__c,copado__Deployment_Flow__c,Master-Detail,False,1,0..N,copado__Pipeline__r,copado__Pipeline_Stages__r,True,False
copado__Stage_Connection__c,copado__Stage__c,copado__Stage__c,Master-Detail,False,1,0..N,copado__Stage__r,copado__Pipeline_Stages__r,True,False
copado__Stage_Connection__c,copado__Next_Stage_Connection__c,copado__Stage_Connection__c,Lookup,True,0..1,0..N,copado__Next_Stage_Connection__r,copado__Next_Stage_Connections__r,False,False
copado__JobExecution__c,copado__Deployment__c,copado__Deployment__c,Lookup,True,0..1,0..N,copado__Deployment__r,copado__JobExecutions__r,False,False
copado__JobExecution__c,copado__Destination__c,copado__Environment__c,Lookup,True,0..1,0..N,copado__Destination__r,copado__Job_Executions1__r,False,False
copado__JobExecution__c,copado__Pipeline__c,copado__Deployment_Flow__c,Lookup,True,0..1,0..N,copado__Pipeline__r,copado__JobExecutions__r,False,False
copado__JobExecution__c,copado__Promotion__c,copado__Promotion__c,Lookup,True,0..1,0..N,copado__Promotion__r,copado__JobExecutions__r,False,False
